"province","death_source_id","death_source_short","death_source_full"
"BC",109,"BC109","https://bc.ctvnews.ca/b-c-tops-5-000-active-covid-cases-with-525-identified-over-last-24-hours-1.5182420"
"BC",110,"BC110","https://www.youtube.com/watch?v=gaAs47CBZuk&ab_channel=ProvinceofBC"
"BC",111,"BC111","https://www.cbc.ca/news/canada/british-columbia/covid-19-cases-bc-nov-14-2020-1.5801263"
"BC",112,"BC112","https://bc.ctvnews.ca/b-c-reports-9-coronavirus-deaths-almost-2-000-new-cases-in-record-breaking-weekend-1.5190785"
"BC",113,"BC113","https://news.gov.bc.ca/releases/2020HLTH0061-001943"
"BC",114,"BC114","https://www.cbc.ca/news/canada/british-columbia/covid-19-bc-update-nov-18-1.5807402"
"BC",115,"BC115","https://bc.ctvnews.ca/covid-19-in-b-c-another-death-538-cases-confirmed-in-latest-update-1.5195972"
"BC",116,"BC116","https://bc.ctvnews.ca/516-more-covid-19-cases-10-deaths-as-b-c-tops-25-000-cases-overall-1.5197694"
"BC",117,"BC117","https://www.cbc.ca/news/canada/british-columbia/bc-coronavirus-update-november-23-2020-1.5812556"
"BC",118,"BC118","https://bc.ctvnews.ca/b-c-reports-record-shattering-941-cases-of-covid-19-10-deaths-1.5202217"
"BC",119,"BC119","https://www.youtube.com/watch?v=xP-Vufao_3o&ab_channel=GlobalNews"
"BC",120,"BC120","https://bc.ctvnews.ca/another-record-breaking-covid-19-update-b-c-adds-887-cases-13-deaths-1.5205561"
"BC",121,"BC121","https://www.youtube.com/watch?v=I8c0ILNZ8pE&ab_channel=ProvinceofBC"
"BC",123,"BC123","https://bc.ctvnews.ca/more-than-2-000-cases-of-covid-19-over-the-weekend-in-b-c-officials-say-1.5210124"
"BC",124,"BC124","https://bc.ctvnews.ca/b-c-reports-656-cases-of-covid-19-16-deaths-record-number-of-hospitalizations-1.5211784"
"BC",126,"BC126","https://bc.ctvnews.ca/b-c-adds-834-cases-of-covid-19-12-deaths-1.5213746"
"BC",127,"BC127","https://www.youtube.com/watch?v=rVbVDPuHR4s&ab_channel=ProvinceofBC"
"BC",128,"BC128","https://bc.ctvnews.ca/covid-19-update-b-c-announces-711-more-cases-highest-hospitalizations-seen-so-far-in-the-pandemic-1.5217318"
"BC",137,"BC137","https://www.youtube.com/watch?v=ScsFiaR6YbI&ab_channel=ProvinceofBC"
"BC",138,"BC138","https://bc.ctvnews.ca/b-c-reports-16-more-covid-19-deaths-566-new-cases-1.5221650"
"BC",139,"BC139","https://bc.ctvnews.ca/16-more-deaths-from-covid-19-in-b-c-as-province-announces-vaccine-plan-1.5223570"
"BC",140,"BC140","https://www.youtube.com/watch?v=akKtCrENwfg&ab_channel=ProvinceofBC"
"BC",142,"BC142","https://bc.ctvnews.ca/covid-19-update-b-c-reports-737-new-cases-11-deaths-4-outbreaks-1.5227436"
"BC",144,"BC144","https://bc.ctvnews.ca/b-c-suffers-49-more-covid-19-fatalities-in-deadliest-weekend-of-pandemic-1.5230198?autoPlay=true"
"BC",158,"BC158","https://bc.ctvnews.ca/b-c-reports-21-more-covid-19-deaths-as-hospitalizations-reach-record-high-1.5231925"
"BC",159,"BC159","https://bc.ctvnews.ca/covid-19-update-640-cases-and-24-deaths-in-latest-data-from-b-c-health-ministry-1.5233762"
"BC",161,"BC161","https://bc.ctvnews.ca/covid-19-update-b-c-reports-21-more-deaths-673-new-cases-1.5235722"
"BC",162,"BC162","https://news.gov.bc.ca/releases/2020HLTH0068-002116"
"BC",163,"BC163","https://news.gov.bc.ca/releases/2020HLTH0068-002117"
"BC",164,"BC164","https://news.gov.bc.ca/releases/2020HLTH0068-002118"
"BC",165,"BC165","https://news.gov.bc.ca/releases/2020HLTH0068-002119"
"BC",166,"BC166","https://news.gov.bc.ca/releases/2020HLTH0068-002120"
"BC",167,"BC167","https://news.gov.bc.ca/releases/2020HLTH0068-002121"
"BC",168,"BC168","https://news.gov.bc.ca/releases/2020HLTH0068-002122"
"BC",169,"BC169","https://news.gov.bc.ca/releases/2020HLTH0068-002123"
"BC",170,"BC170","https://news.gov.bc.ca/releases/2020HLTH0068-002124"
"BC",171,"BC171","https://news.gov.bc.ca/releases/2020HLTH0068-002125"
"BC",172,"BC172","https://news.gov.bc.ca/releases/2020HLTH0068-002126"
"BC",177,"BC177","https://globalnews.ca/news/7535890/bc-coronavirus-december-21/"
"BC",178,"BC178","https://globalnews.ca/news/7538268/bc-coronavirus-december-22/"
"BC",179,"BC179","https://vancouverisland.ctvnews.ca/9-more-cases-of-covid-19-identified-in-island-health-region-1.5243204"
"BC",182,"BC182","https://globalnews.ca/news/7546022/bc-coronavirus-update-december-29/"
"BC",185,"BC185","https://bc.ctvnews.ca/more-than-14-000-vaccines-administered-in-b-c-11-covid-19-deaths-in-the-last-24-hours-1.5248353/"
"Manitoba",1,"MB1","https://winnipeg.ctvnews.ca/province-announces-first-death-in-manitoba-from-covid-19-1.4870881"
"Manitoba",2,"MB2","https://manitoba.ca/covid19/"
"Manitoba",3,"MB3","https://news.gov.mb.ca/news/?archive=&item=47418"
"Manitoba",4,"MB4","https://news.gov.mb.ca/news/index.html?item=47469"
"Manitoba",5,"MB5","https://news.gov.mb.ca/news/index.html?item=47541"
"Manitoba",6,"MB6","https://news.gov.mb.ca/news/index.html?item=47578"
"Manitoba",7,"MB7","https://manitoba.ca/covid19/updates/index.html"
"Manitoba",8,"MB8","https://winnipeg.ctvnews.ca/covid-19-death-reported-in-manitoba-on-tuesday-1.5042411#_gus&_gucid=&_gup=twitter&_gsc=A8EMOhR"
"Manitoba",9,"MB9","https://news.gov.mb.ca/news/index.html?item=49080"
"Manitoba",10,"MB10","https://news.gov.mb.ca/news/?archive=&item=49085"
"Manitoba",11,"MB11","https://winnipeg.ctvnews.ca/new-covid-19-cases-one-new-death-announced-in-manitoba-on-wednesday-1.5070700"
"Manitoba",12,"MB12","https://news.gov.mb.ca/news/index.html?item=49109&posted=2020-08-25"
"Manitoba",13,"MB13","https://www.cbc.ca/news/canada/manitoba/manitoba-covid-19-update-1.5702033"
"Manitoba",14,"MB14","https://www.gov.mb.ca/covid19/updates/index.html"
"Manitoba",15,"MB15","https://www.gov.mb.ca/covid19/index.html"
"Manitoba",16,"MB16","https://news.gov.mb.ca/news/index.html?item=49289"
"Manitoba",17,"MB17","https://news.gov.mb.ca/news/index.html?item=49335"
"Manitoba",18,"MB18","https://www.cbc.ca/news/canada/manitoba/covid-19-manitoba-oct-3-1.5749433"
"Manitoba",19,"MB19","https://news.gov.mb.ca/news/index.html?item=49341"
"Manitoba",20,"MB20","https://news.gov.mb.ca/news/index.html?item=49387"
"Manitoba",21,"MB21","https://news.gov.mb.ca/news/index.html?item=49389"
"Manitoba",22,"MB22","https://news.gov.mb.ca/news/index.html?item=49458&posted=2020-10-24"
"Manitoba",23,"MB23","https://news.gov.mb.ca/news/index.html?item=49493&posted=2020-10-29"
"Manitoba",24,"MB24","https://news.gov.mb.ca/news/index.html?item=49566&posted=2020-11-03"
